Complaint_Month,Complaint_Count
2012-01,1
2012-12,1
2013-02,1
2013-05,1
2014-07,1
2016-11,1
2017-03,1
2017-04,1
2018-03,1
2018-05,1
2018-06,2
2018-07,1
2018-08,1
2019-07,1
2020-02,1
2020-03,1
2020-04,1
2020-06,1
2020-09,1
2020-12,1
2021-01,1
2021-02,1
2021-03,1
2021-05,4
2021-07,2
2021-10,1
2021-11,1
2021-12,1
2022-01,3
2022-03,1
2022-04,2
2022-05,1
2022-08,1
2022-09,1
2022-12,1
2023-05,2
2023-07,3
2023-08,1
2023-09,1
2023-10,1
2023-11,2
2023-12,1
2024-01,1
2024-02,2
2024-03,1
2024-04,3
2024-05,2
2024-06,3
2024-07,4
2024-08,1
2024-09,2
2024-10,1
2024-11,5
2024-12,1
2025-01,2
2025-02,5
2025-03,5
2025-04,61
2025-05,5
2025-06,23
2025-07,30
2025-08,25
2025-09,19
2025-10,21
2025-11,63
2025-12,125
2026-01,274
2026-02,5528
2026-03,6917
2026-04,15738
2026-05,12583
2026-06,7228
